Hello, World!
-- Benchmark for SubmissionPublisherLoops3Test --
-- Warming up ...
Iteration 0001: Success, per iter time: 2.9847 seconds
Iteration 0002: Success, per iter time: 3.1040 seconds
Iteration 0003: Success, per iter time: 3.4987 seconds
Iteration 0004: Success, per iter time: 3.5101 seconds
Iteration 0005: Success, per iter time: 3.1880 seconds
Iteration 0006: Success, per iter time: 3.5465 seconds
Iteration 0007: Success, per iter time: 4.7166 seconds
Iteration 0008: Success, per iter time: 5.8779 seconds
Iteration 0009: Success, per iter time: 5.1282 seconds
Iteration 0010: Success, per iter time: 5.2539 seconds
-- Running benchmark ...
Iteration 0001: Success, per iter time: 3.6879 seconds
Iteration 0002: Success, per iter time: 3.7006 seconds
Iteration 0003: Success, per iter time: 3.6168 seconds
Iteration 0004: Success, per iter time: 5.1949 seconds
Iteration 0005: Success, per iter time: 3.7236 seconds
Iteration 0006: Success, per iter time: 7.2322 seconds
Iteration 0007: Success, per iter time: 4.3445 seconds
Iteration 0008: Success, per iter time: 3.8237 seconds
Iteration 0009: Success, per iter time: 4.0356 seconds
Iteration 0010: Success, per iter time: 7.2841 seconds
Iteration 0011: Success, per iter time: 4.3283 seconds
Iteration 0012: Success, per iter time: 3.5727 seconds
Iteration 0013: Success, per iter time: 4.4364 seconds
Iteration 0014: Success, per iter time: 4.1076 seconds
Iteration 0015: Success, per iter time: 5.0254 seconds
Iteration 0016: Success, per iter time: 6.0977 seconds
Iteration 0017: Success, per iter time: 4.0260 seconds
Iteration 0018: Success, per iter time: 5.3861 seconds
Iteration 0019: Success, per iter time: 6.4646 seconds
Iteration 0020: Success, per iter time: 5.3074 seconds
Iteration 0021: Success, per iter time: 4.1542 seconds
Iteration 0022: Success, per iter time: 3.9436 seconds
Iteration 0023: Success, per iter time: 4.8306 seconds
Iteration 0024: Success, per iter time: 4.0981 seconds
Iteration 0025: Success, per iter time: 4.4514 seconds
Iteration 0026: Success, per iter time: 5.9194 seconds
Iteration 0027: Success, per iter time: 3.8845 seconds
Iteration 0028: Success, per iter time: 4.4638 seconds
Iteration 0029: Success, per iter time: 3.8983 seconds
Iteration 0030: Success, per iter time: 4.7551 seconds
Iteration 0031: Success, per iter time: 3.5069 seconds
Iteration 0032: Success, per iter time: 3.8879 seconds
Iteration 0033: Success, per iter time: 5.1414 seconds
Iteration 0034: Success, per iter time: 4.0656 seconds
Iteration 0035: Success, per iter time: 6.5648 seconds
Iteration 0036: Success, per iter time: 4.3031 seconds
Iteration 0037: Success, per iter time: 3.5528 seconds
Iteration 0038: Success, per iter time: 3.9873 seconds
Iteration 0039: Success, per iter time: 5.3798 seconds
Iteration 0040: Success, per iter time: 4.1095 seconds
Iteration 0041: Success, per iter time: 3.7167 seconds
Iteration 0042: Success, per iter time: 4.8274 seconds
Iteration 0043: Success, per iter time: 4.2900 seconds
Iteration 0044: Success, per iter time: 3.7009 seconds
Iteration 0045: Success, per iter time: 4.9291 seconds
Iteration 0046: Success, per iter time: 4.0317 seconds
Iteration 0047: Success, per iter time: 4.6826 seconds
Iteration 0048: Success, per iter time: 5.5529 seconds
Iteration 0049: Success, per iter time: 4.0280 seconds
Iteration 0050: Success, per iter time: 4.5681 seconds
Iteration 0051: Success, per iter time: 4.6489 seconds
Iteration 0052: Success, per iter time: 3.6189 seconds
Iteration 0053: Success, per iter time: 4.3864 seconds
Iteration 0054: Success, per iter time: 4.3424 seconds
Iteration 0055: Success, per iter time: 4.7982 seconds
Iteration 0056: Success, per iter time: 3.8513 seconds
Iteration 0057: Success, per iter time: 6.0213 seconds
Iteration 0058: Success, per iter time: 4.1755 seconds
Iteration 0059: Success, per iter time: 5.8412 seconds
Iteration 0060: Success, per iter time: 7.1319 seconds
Iteration 0061: Success, per iter time: 4.6176 seconds
Iteration 0062: Success, per iter time: 7.3757 seconds
Iteration 0063: Success, per iter time: 5.0966 seconds
Iteration 0064: Success, per iter time: 3.8243 seconds
Iteration 0065: Success, per iter time: 4.5681 seconds
Iteration 0066: Success, per iter time: 4.5073 seconds
Iteration 0067: Success, per iter time: 5.7552 seconds
Iteration 0068: Success, per iter time: 5.7519 seconds
Iteration 0069: Success, per iter time: 5.7364 seconds
Iteration 0070: Success, per iter time: 4.3433 seconds
Iteration 0071: Success, per iter time: 4.4356 seconds
Iteration 0072: Success, per iter time: 4.3174 seconds
Iteration 0073: Success, per iter time: 4.9500 seconds
Iteration 0074: Success, per iter time: 5.4794 seconds
Iteration 0075: Success, per iter time: 3.5992 seconds
Iteration 0076: Success, per iter time: 4.4846 seconds
Iteration 0077: Success, per iter time: 4.5992 seconds
Iteration 0078: Success, per iter time: 5.8831 seconds
Iteration 0079: Success, per iter time: 4.0787 seconds
Iteration 0080: Success, per iter time: 4.0790 seconds
Iteration 0081: Success, per iter time: 4.9195 seconds
Iteration 0082: Success, per iter time: 4.2261 seconds
Iteration 0083: Success, per iter time: 6.0751 seconds
Iteration 0084: Success, per iter time: 3.5789 seconds
Iteration 0085: Success, per iter time: 3.6939 seconds
Iteration 0086: Success, per iter time: 5.2035 seconds
Iteration 0087: Success, per iter time: 6.7325 seconds
Iteration 0088: Success, per iter time: 3.6505 seconds
Iteration 0089: Success, per iter time: 7.6658 seconds
Iteration 0090: Success, per iter time: 6.5133 seconds
Iteration 0091: Success, per iter time: 3.8702 seconds
Iteration 0092: Success, per iter time: 4.0647 seconds
Iteration 0093: Success, per iter time: 4.6131 seconds
Iteration 0094: Success, per iter time: 3.7145 seconds
Iteration 0095: Success, per iter time: 5.8018 seconds
Iteration 0096: Success, per iter time: 5.0774 seconds
Iteration 0097: Success, per iter time: 7.1882 seconds
Iteration 0098: Success, per iter time: 4.2288 seconds
Iteration 0099: Success, per iter time: 4.6956 seconds
Iteration 0100: Success, per iter time: 3.6458 seconds
-- Statistics:
 Average time: 4.7408 seconds
 Std Dev time: 1.0255 seconds
        Total:   100 runs
    Successes:   100 runs
    Succ Rate: 1.000000
     Timeouts:     0 runs
 Timeout Rate: 0.000000
     Failures:     0 runs
 Failure Rate: 0.000000
-- End of SubmissionPublisherLoops3Test session --
