Hello, World!
-- Benchmark for SubmissionPublisherLoops1Test --
-- Warming up ...
Iteration 0001: Success, per iter time: 2.3216 seconds
Iteration 0002: Success, per iter time: 2.4899 seconds
Iteration 0003: Success, per iter time: 2.7331 seconds
Iteration 0004: Success, per iter time: 2.8483 seconds
Iteration 0005: Success, per iter time: 2.6178 seconds
Iteration 0006: Success, per iter time: 2.3298 seconds
Iteration 0007: Success, per iter time: 2.2562 seconds
Iteration 0008: Success, per iter time: 2.6450 seconds
Iteration 0009: Success, per iter time: 2.3314 seconds
Iteration 0010: Success, per iter time: 2.3938 seconds
-- Running benchmark ...
Iteration 0001: Success, per iter time: 2.5556 seconds
Iteration 0002: Success, per iter time: 2.7722 seconds
Iteration 0003: Success, per iter time: 2.7029 seconds
Iteration 0004: Success, per iter time: 2.2096 seconds
Iteration 0005: Success, per iter time: 3.0083 seconds
Iteration 0006: Success, per iter time: 2.5026 seconds
Iteration 0007: Success, per iter time: 2.8737 seconds
Iteration 0008: Success, per iter time: 2.8974 seconds
Iteration 0009: Success, per iter time: 2.4807 seconds
Iteration 0010: Success, per iter time: 2.9040 seconds
Iteration 0011: Success, per iter time: 3.0552 seconds
Iteration 0012: Success, per iter time: 2.5372 seconds
Iteration 0013: Success, per iter time: 2.8070 seconds
Iteration 0014: Success, per iter time: 2.5225 seconds
Iteration 0015: Success, per iter time: 2.7504 seconds
Iteration 0016: Success, per iter time: 2.3792 seconds
Iteration 0017: Success, per iter time: 2.8029 seconds
Iteration 0018: Success, per iter time: 2.7571 seconds
Iteration 0019: Success, per iter time: 2.2462 seconds
Iteration 0020: Success, per iter time: 2.4054 seconds
Iteration 0021: Success, per iter time: 2.9039 seconds
Iteration 0022: Success, per iter time: 2.6671 seconds
Iteration 0023: Success, per iter time: 3.0989 seconds
Iteration 0024: Success, per iter time: 2.9194 seconds
Iteration 0025: Success, per iter time: 3.0035 seconds
Iteration 0026: Success, per iter time: 2.7446 seconds
Iteration 0027: Success, per iter time: 3.1162 seconds
Iteration 0028: Success, per iter time: 2.7004 seconds
Iteration 0029: Success, per iter time: 2.4170 seconds
Iteration 0030: Success, per iter time: 2.7674 seconds
Iteration 0031: Success, per iter time: 2.8072 seconds
Iteration 0032: Success, per iter time: 2.9488 seconds
Iteration 0033: Success, per iter time: 2.8317 seconds
Iteration 0034: Success, per iter time: 2.9122 seconds
Iteration 0035: Success, per iter time: 2.8429 seconds
Iteration 0036: Success, per iter time: 3.1630 seconds
Iteration 0037: Success, per iter time: 2.9517 seconds
Iteration 0038: Success, per iter time: 2.5912 seconds
Iteration 0039: Success, per iter time: 2.9890 seconds
Iteration 0040: Success, per iter time: 2.1643 seconds
Iteration 0041: Success, per iter time: 2.4401 seconds
Iteration 0042: Success, per iter time: 2.9074 seconds
Iteration 0043: Success, per iter time: 2.8469 seconds
Iteration 0044: Success, per iter time: 2.7660 seconds
Iteration 0045: Success, per iter time: 3.2721 seconds
Iteration 0046: Success, per iter time: 2.6260 seconds
Iteration 0047: Success, per iter time: 1.8626 seconds
Iteration 0048: Success, per iter time: 2.8101 seconds
Iteration 0049: Success, per iter time: 2.6822 seconds
Iteration 0050: Success, per iter time: 2.9316 seconds
Iteration 0051: Success, per iter time: 2.8617 seconds
Iteration 0052: Success, per iter time: 2.5393 seconds
Iteration 0053: Success, per iter time: 2.6820 seconds
Iteration 0054: Success, per iter time: 2.7739 seconds
Iteration 0055: Success, per iter time: 2.8004 seconds
Iteration 0056: Success, per iter time: 2.3258 seconds
Iteration 0057: Success, per iter time: 2.6922 seconds
Iteration 0058: Success, per iter time: 2.5335 seconds
Iteration 0059: Success, per iter time: 2.4591 seconds
Iteration 0060: Success, per iter time: 2.7170 seconds
Iteration 0061: Success, per iter time: 3.0255 seconds
Iteration 0062: Success, per iter time: 2.7450 seconds
Iteration 0063: Success, per iter time: 2.7429 seconds
Iteration 0064: Success, per iter time: 2.9663 seconds
Iteration 0065: Success, per iter time: 2.8335 seconds
Iteration 0066: Success, per iter time: 2.4353 seconds
Iteration 0067: Success, per iter time: 2.7619 seconds
Iteration 0068: Success, per iter time: 2.6445 seconds
Iteration 0069: Success, per iter time: 2.7627 seconds
Iteration 0070: Success, per iter time: 2.5536 seconds
Iteration 0071: Success, per iter time: 3.2150 seconds
Iteration 0072: Success, per iter time: 3.2607 seconds
Iteration 0073: Success, per iter time: 2.6113 seconds
Iteration 0074: Success, per iter time: 2.6597 seconds
Iteration 0075: Success, per iter time: 2.6624 seconds
Iteration 0076: Success, per iter time: 2.6127 seconds
Iteration 0077: Success, per iter time: 3.0846 seconds
Iteration 0078: Success, per iter time: 2.7000 seconds
Iteration 0079: Success, per iter time: 2.7741 seconds
Iteration 0080: Success, per iter time: 2.5683 seconds
Iteration 0081: Success, per iter time: 2.2386 seconds
Iteration 0082: Success, per iter time: 2.2522 seconds
Iteration 0083: Success, per iter time: 2.9319 seconds
Iteration 0084: Success, per iter time: 2.7271 seconds
Iteration 0085: Success, per iter time: 2.9111 seconds
Iteration 0086: Success, per iter time: 2.9764 seconds
Iteration 0087: Success, per iter time: 2.8177 seconds
Iteration 0088: Success, per iter time: 2.7537 seconds
Iteration 0089: Success, per iter time: 3.0523 seconds
Iteration 0090: Success, per iter time: 2.7827 seconds
Iteration 0091: Success, per iter time: 2.6465 seconds
Iteration 0092: Success, per iter time: 2.6073 seconds
Iteration 0093: Success, per iter time: 2.8241 seconds
Iteration 0094: Success, per iter time: 3.4397 seconds
Iteration 0095: Success, per iter time: 3.0331 seconds
Iteration 0096: Success, per iter time: 3.1668 seconds
Iteration 0097: Success, per iter time: 2.3437 seconds
Iteration 0098: Success, per iter time: 2.5594 seconds
Iteration 0099: Success, per iter time: 2.8500 seconds
Iteration 0100: Success, per iter time: 2.7204 seconds
-- Statistics:
 Average time: 2.7450 seconds
 Std Dev time: 0.2619 seconds
        Total:   100 runs
    Successes:   100 runs
    Succ Rate: 1.000000
     Timeouts:     0 runs
 Timeout Rate: 0.000000
     Failures:     0 runs
 Failure Rate: 0.000000
-- End of SubmissionPublisherLoops1Test session --
