Hello, World!
-- Benchmark for SubmissionPublisherLoops1Test --
-- Warming up ...
Iteration 0001: Success, per iter time: 2.8689 seconds
Iteration 0002: Success, per iter time: 2.5532 seconds
Iteration 0003: Success, per iter time: 2.6019 seconds
Iteration 0004: Success, per iter time: 2.4339 seconds
Iteration 0005: Success, per iter time: 2.8134 seconds
Iteration 0006: Success, per iter time: 2.3097 seconds
Iteration 0007: Success, per iter time: 2.9506 seconds
Iteration 0008: Success, per iter time: 2.6930 seconds
Iteration 0009: Success, per iter time: 2.8379 seconds
Iteration 0010: Success, per iter time: 1.4137 seconds
-- Running benchmark ...
Iteration 0001: Success, per iter time: 2.2758 seconds
Iteration 0002: Success, per iter time: 2.6879 seconds
Iteration 0003: Success, per iter time: 3.5602 seconds
Iteration 0004: Success, per iter time: 3.2001 seconds
Iteration 0005: Success, per iter time: 3.5777 seconds
Iteration 0006: Success, per iter time: 3.6917 seconds
Iteration 0007: Success, per iter time: 3.1858 seconds
Iteration 0008: Success, per iter time: 3.3186 seconds
Iteration 0009: Success, per iter time: 3.3861 seconds
Iteration 0010: Success, per iter time: 3.6828 seconds
Iteration 0011: Success, per iter time: 3.5831 seconds
Iteration 0012: Success, per iter time: 3.8123 seconds
Iteration 0013: Success, per iter time: 2.9426 seconds
Iteration 0014: Success, per iter time: 3.0383 seconds
Iteration 0015: Success, per iter time: 3.7284 seconds
Iteration 0016: Success, per iter time: 3.7023 seconds
Iteration 0017: Success, per iter time: 3.3403 seconds
Iteration 0018: Success, per iter time: 3.1947 seconds
Iteration 0019: Success, per iter time: 3.1348 seconds
Iteration 0020: Success, per iter time: 3.3827 seconds
Iteration 0021: Success, per iter time: 2.4597 seconds
Iteration 0022: Success, per iter time: 1.8843 seconds
Iteration 0023: Success, per iter time: 3.3504 seconds
Iteration 0024: Success, per iter time: 3.3723 seconds
Iteration 0025: Success, per iter time: 3.6974 seconds
Iteration 0026: Success, per iter time: 3.3602 seconds
Iteration 0027: Success, per iter time: 2.8748 seconds
Iteration 0028: Success, per iter time: 2.8669 seconds
Iteration 0029: Success, per iter time: 3.0920 seconds
Iteration 0030: Success, per iter time: 3.4949 seconds
Iteration 0031: Success, per iter time: 3.1461 seconds
Iteration 0032: Success, per iter time: 3.0313 seconds
Iteration 0033: Success, per iter time: 3.3328 seconds
Iteration 0034: Success, per iter time: 3.2464 seconds
Iteration 0035: Success, per iter time: 3.1842 seconds
Iteration 0036: Success, per iter time: 3.2664 seconds
Iteration 0037: Success, per iter time: 3.3945 seconds
Iteration 0038: Success, per iter time: 2.8879 seconds
Iteration 0039: Success, per iter time: 3.1542 seconds
Iteration 0040: Success, per iter time: 2.8577 seconds
Iteration 0041: Success, per iter time: 3.5550 seconds
Iteration 0042: Success, per iter time: 3.4392 seconds
Iteration 0043: Success, per iter time: 3.3706 seconds
Iteration 0044: Success, per iter time: 3.5910 seconds
Iteration 0045: Success, per iter time: 3.9532 seconds
Iteration 0046: Success, per iter time: 3.4813 seconds
Iteration 0047: Success, per iter time: 2.8362 seconds
Iteration 0048: Success, per iter time: 3.9796 seconds
Iteration 0049: Success, per iter time: 3.3982 seconds
Iteration 0050: Success, per iter time: 2.7744 seconds
Iteration 0051: Success, per iter time: 3.1281 seconds
Iteration 0052: Success, per iter time: 3.2508 seconds
Iteration 0053: Success, per iter time: 3.8413 seconds
Iteration 0054: Success, per iter time: 2.9046 seconds
Iteration 0055: Success, per iter time: 3.3505 seconds
Iteration 0056: Success, per iter time: 3.1523 seconds
Iteration 0057: Success, per iter time: 3.4360 seconds
Iteration 0058: Success, per iter time: 3.3895 seconds
Iteration 0059: Success, per iter time: 2.7997 seconds
Iteration 0060: Success, per iter time: 3.4808 seconds
Iteration 0061: Success, per iter time: 3.7294 seconds
Iteration 0062: Success, per iter time: 3.7207 seconds
Iteration 0063: Success, per iter time: 3.6211 seconds
Iteration 0064: Success, per iter time: 3.1153 seconds
Iteration 0065: Success, per iter time: 3.0729 seconds
Iteration 0066: Success, per iter time: 3.4045 seconds
Iteration 0067: Success, per iter time: 2.9925 seconds
Iteration 0068: Success, per iter time: 3.4551 seconds
Iteration 0069: Success, per iter time: 3.3698 seconds
Iteration 0070: Success, per iter time: 2.8563 seconds
Iteration 0071: Success, per iter time: 3.0828 seconds
Iteration 0072: Success, per iter time: 3.3885 seconds
Iteration 0073: Success, per iter time: 3.4808 seconds
Iteration 0074: Success, per iter time: 3.6811 seconds
Iteration 0075: Success, per iter time: 3.4520 seconds
Iteration 0076: Success, per iter time: 2.1924 seconds
Iteration 0077: Success, per iter time: 3.1963 seconds
Iteration 0078: Success, per iter time: 3.9027 seconds
Iteration 0079: Success, per iter time: 3.3698 seconds
Iteration 0080: Success, per iter time: 3.5905 seconds
Iteration 0081: Success, per iter time: 3.1573 seconds
Iteration 0082: Success, per iter time: 3.5735 seconds
Iteration 0083: Success, per iter time: 3.5445 seconds
Iteration 0084: Success, per iter time: 3.8219 seconds
Iteration 0085: Success, per iter time: 4.1003 seconds
Iteration 0086: Success, per iter time: 3.5507 seconds
Iteration 0087: Success, per iter time: 3.4390 seconds
Iteration 0088: Success, per iter time: 3.5020 seconds
Iteration 0089: Success, per iter time: 3.7259 seconds
Iteration 0090: Success, per iter time: 3.5139 seconds
Iteration 0091: Success, per iter time: 3.9001 seconds
Iteration 0092: Success, per iter time: 2.9661 seconds
Iteration 0093: Success, per iter time: 3.6048 seconds
Iteration 0094: Success, per iter time: 2.9436 seconds
Iteration 0095: Success, per iter time: 3.5469 seconds
Iteration 0096: Success, per iter time: 2.9139 seconds
Iteration 0097: Success, per iter time: 4.0359 seconds
Iteration 0098: Success, per iter time: 3.3644 seconds
Iteration 0099: Success, per iter time: 3.5112 seconds
Iteration 0100: Success, per iter time: 3.0815 seconds
-- Statistics:
 Average time: 3.3196 seconds
 Std Dev time: 0.3870 seconds
        Total:   100 runs
    Successes:   100 runs
    Succ Rate: 1.000000
     Timeouts:     0 runs
 Timeout Rate: 0.000000
     Failures:     0 runs
 Failure Rate: 0.000000
-- End of SubmissionPublisherLoops1Test session --
