Hello, World!
-- Benchmark for SubmissionPublisherLoops1Test --
-- Warming up ...
Iteration 0001: Success, per iter time: 2.4318 seconds
Iteration 0002: Success, per iter time: 3.0380 seconds
Iteration 0003: Success, per iter time: 2.4509 seconds
Iteration 0004: Success, per iter time: 2.2345 seconds
Iteration 0005: Success, per iter time: 2.8172 seconds
Iteration 0006: Success, per iter time: 2.4184 seconds
Iteration 0007: Success, per iter time: 2.2566 seconds
Iteration 0008: Success, per iter time: 2.2971 seconds
Iteration 0009: Success, per iter time: 1.6406 seconds
Iteration 0010: Success, per iter time: 2.5450 seconds
-- Running benchmark ...
Iteration 0001: Success, per iter time: 2.3503 seconds
Iteration 0002: Success, per iter time: 2.7185 seconds
Iteration 0003: Success, per iter time: 2.6983 seconds
Iteration 0004: Success, per iter time: 3.3073 seconds
Iteration 0005: Success, per iter time: 2.6299 seconds
Iteration 0006: Success, per iter time: 2.7580 seconds
Iteration 0007: Success, per iter time: 2.7954 seconds
Iteration 0008: Success, per iter time: 3.0761 seconds
Iteration 0009: Success, per iter time: 3.0258 seconds
Iteration 0010: Success, per iter time: 3.1861 seconds
Iteration 0011: Success, per iter time: 2.6003 seconds
Iteration 0012: Success, per iter time: 2.6658 seconds
Iteration 0013: Success, per iter time: 2.3597 seconds
Iteration 0014: Success, per iter time: 2.4874 seconds
Iteration 0015: Success, per iter time: 2.7732 seconds
Iteration 0016: Success, per iter time: 2.4550 seconds
Iteration 0017: Success, per iter time: 2.4291 seconds
Iteration 0018: Success, per iter time: 3.0355 seconds
Iteration 0019: Success, per iter time: 2.6261 seconds
Iteration 0020: Success, per iter time: 3.3235 seconds
Iteration 0021: Success, per iter time: 2.7496 seconds
Iteration 0022: Success, per iter time: 3.0062 seconds
Iteration 0023: Success, per iter time: 2.8961 seconds
Iteration 0024: Success, per iter time: 2.9954 seconds
Iteration 0025: Success, per iter time: 2.5853 seconds
Iteration 0026: Success, per iter time: 2.7320 seconds
Iteration 0027: Success, per iter time: 2.6423 seconds
Iteration 0028: Success, per iter time: 2.6259 seconds
Iteration 0029: Success, per iter time: 3.1648 seconds
Iteration 0030: Success, per iter time: 3.2920 seconds
Iteration 0031: Success, per iter time: 2.4546 seconds
Iteration 0032: Success, per iter time: 2.8026 seconds
Iteration 0033: Success, per iter time: 2.8358 seconds
Iteration 0034: Success, per iter time: 2.7988 seconds
Iteration 0035: Success, per iter time: 3.0405 seconds
Iteration 0036: Success, per iter time: 2.3901 seconds
Iteration 0037: Success, per iter time: 3.0145 seconds
Iteration 0038: Success, per iter time: 3.2584 seconds
Iteration 0039: Success, per iter time: 2.6013 seconds
Iteration 0040: Success, per iter time: 2.7709 seconds
Iteration 0041: Success, per iter time: 3.1829 seconds
Iteration 0042: Success, per iter time: 2.9891 seconds
Iteration 0043: Success, per iter time: 2.9334 seconds
Iteration 0044: Success, per iter time: 3.2620 seconds
Iteration 0045: Success, per iter time: 2.8200 seconds
Iteration 0046: Success, per iter time: 2.9077 seconds
Iteration 0047: Success, per iter time: 2.3611 seconds
Iteration 0048: Success, per iter time: 2.5260 seconds
Iteration 0049: Success, per iter time: 2.8637 seconds
Iteration 0050: Success, per iter time: 2.4711 seconds
Iteration 0051: Success, per iter time: 2.6544 seconds
Iteration 0052: Success, per iter time: 2.4702 seconds
Iteration 0053: Success, per iter time: 2.9813 seconds
Iteration 0054: Success, per iter time: 2.5104 seconds
Iteration 0055: Success, per iter time: 2.5260 seconds
Iteration 0056: Success, per iter time: 3.1640 seconds
Iteration 0057: Success, per iter time: 2.1446 seconds
Iteration 0058: Success, per iter time: 3.1663 seconds
Iteration 0059: Success, per iter time: 2.5414 seconds
Iteration 0060: Success, per iter time: 2.1930 seconds
Iteration 0061: Success, per iter time: 2.4341 seconds
Iteration 0062: Success, per iter time: 3.0443 seconds
Iteration 0063: Success, per iter time: 2.5525 seconds
Iteration 0064: Success, per iter time: 2.5851 seconds
Iteration 0065: Success, per iter time: 3.0936 seconds
Iteration 0066: Success, per iter time: 2.5546 seconds
Iteration 0067: Success, per iter time: 3.0312 seconds
Iteration 0068: Success, per iter time: 3.0236 seconds
Iteration 0069: Success, per iter time: 2.5642 seconds
Iteration 0070: Success, per iter time: 2.3698 seconds
Iteration 0071: Success, per iter time: 2.8939 seconds
Iteration 0072: Success, per iter time: 2.9698 seconds
Iteration 0073: Success, per iter time: 2.2744 seconds
Iteration 0074: Success, per iter time: 2.7953 seconds
Iteration 0075: Success, per iter time: 2.3815 seconds
Iteration 0076: Success, per iter time: 3.0967 seconds
Iteration 0077: Success, per iter time: 3.0156 seconds
Iteration 0078: Success, per iter time: 2.4893 seconds
Iteration 0079: Success, per iter time: 3.2486 seconds
Iteration 0080: Success, per iter time: 2.2689 seconds
Iteration 0081: Success, per iter time: 2.8855 seconds
Iteration 0082: Success, per iter time: 2.8350 seconds
Iteration 0083: Success, per iter time: 2.7224 seconds
Iteration 0084: Success, per iter time: 2.6276 seconds
Iteration 0085: Success, per iter time: 2.4722 seconds
Iteration 0086: Success, per iter time: 2.8666 seconds
Iteration 0087: Success, per iter time: 2.9918 seconds
Iteration 0088: Success, per iter time: 2.4224 seconds
Iteration 0089: Success, per iter time: 2.5870 seconds
Iteration 0090: Success, per iter time: 2.5968 seconds
Iteration 0091: Success, per iter time: 2.3392 seconds
Iteration 0092: Success, per iter time: 3.1183 seconds
Iteration 0093: Success, per iter time: 3.1623 seconds
Iteration 0094: Success, per iter time: 3.3334 seconds
Iteration 0095: Success, per iter time: 2.9420 seconds
Iteration 0096: Success, per iter time: 2.9923 seconds
Iteration 0097: Success, per iter time: 2.9135 seconds
Iteration 0098: Success, per iter time: 2.7429 seconds
Iteration 0099: Success, per iter time: 3.0217 seconds
Iteration 0100: Success, per iter time: 2.6067 seconds
-- Statistics:
 Average time: 2.7749 seconds
 Std Dev time: 0.2925 seconds
        Total:   100 runs
    Successes:   100 runs
    Succ Rate: 1.000000
     Timeouts:     0 runs
 Timeout Rate: 0.000000
     Failures:     0 runs
 Failure Rate: 0.000000
-- End of SubmissionPublisherLoops1Test session --
