Hello, World!
-- Benchmark for SubmissionPublisherLoops2Test --
-- Warming up ...
Iteration 0001: Success, per iter time: 2.6237 seconds
Iteration 0002: Success, per iter time: 2.9786 seconds
Iteration 0003: Success, per iter time: 2.9683 seconds
Iteration 0004: Success, per iter time: 3.3661 seconds
Iteration 0005: Success, per iter time: 2.8632 seconds
Iteration 0006: Success, per iter time: 1.9646 seconds
Iteration 0007: Success, per iter time: 2.9064 seconds
Iteration 0008: Success, per iter time: 3.1280 seconds
Iteration 0009: Success, per iter time: 2.6781 seconds
Iteration 0010: Success, per iter time: 3.4073 seconds
-- Running benchmark ...
Iteration 0001: Success, per iter time: 3.1352 seconds
Iteration 0002: Success, per iter time: 3.8267 seconds
Iteration 0003: Success, per iter time: 3.2131 seconds
Iteration 0004: Success, per iter time: 4.3119 seconds
Iteration 0005: Success, per iter time: 3.4467 seconds
Iteration 0006: Success, per iter time: 4.6187 seconds
Iteration 0007: Success, per iter time: 3.3241 seconds
Iteration 0008: Success, per iter time: 2.5799 seconds
Iteration 0009: Success, per iter time: 4.9544 seconds
Iteration 0010: Success, per iter time: 5.2403 seconds
Iteration 0011: Success, per iter time: 5.9815 seconds
Iteration 0012: Success, per iter time: 4.4656 seconds
Iteration 0013: Success, per iter time: 3.2931 seconds
Iteration 0014: Success, per iter time: 2.6684 seconds
Iteration 0015: Success, per iter time: 5.2268 seconds
Iteration 0016: Success, per iter time: 3.8470 seconds
Iteration 0017: Success, per iter time: 3.0075 seconds
Iteration 0018: Success, per iter time: 3.8514 seconds
Iteration 0019: Success, per iter time: 9.0588 seconds
Iteration 0020: Success, per iter time: 2.1681 seconds
Iteration 0021: Success, per iter time: 3.3221 seconds
Iteration 0022: Success, per iter time: 3.2694 seconds
Iteration 0023: Success, per iter time: 3.8762 seconds
Iteration 0024: Success, per iter time: 3.6632 seconds
Iteration 0025: Success, per iter time: 4.3791 seconds
Iteration 0026: Success, per iter time: 3.0058 seconds
Iteration 0027: Success, per iter time: 4.6474 seconds
Iteration 0028: Success, per iter time: 3.9679 seconds
Iteration 0029: Success, per iter time: 2.9172 seconds
Iteration 0030: Success, per iter time: 5.5732 seconds
Iteration 0031: Success, per iter time: 3.2291 seconds
Iteration 0032: Success, per iter time: 3.2714 seconds
Iteration 0033: Success, per iter time: 8.0060 seconds
Iteration 0034: Success, per iter time: 3.7532 seconds
Iteration 0035: Success, per iter time: 2.1613 seconds
Iteration 0036: Success, per iter time: 2.6071 seconds
Iteration 0037: Success, per iter time: 2.7919 seconds
Iteration 0038: Success, per iter time: 5.6002 seconds
Iteration 0039: Success, per iter time: 3.3263 seconds
Iteration 0040: Success, per iter time: 3.2699 seconds
Iteration 0041: Success, per iter time: 4.0048 seconds
Iteration 0042: Success, per iter time: 3.4789 seconds
Iteration 0043: Success, per iter time: 4.5462 seconds
Iteration 0044: Success, per iter time: 3.6142 seconds
Iteration 0045: Success, per iter time: 2.1992 seconds
Iteration 0046: Success, per iter time: 7.2350 seconds
Iteration 0047: Success, per iter time: 6.1468 seconds
Iteration 0048: Success, per iter time: 2.6855 seconds
Iteration 0049: Success, per iter time: 3.8225 seconds
Iteration 0050: Success, per iter time: 3.2878 seconds
Iteration 0051: Success, per iter time: 5.7798 seconds
Iteration 0052: Success, per iter time: 7.0309 seconds
Iteration 0053: Success, per iter time: 3.1025 seconds
Iteration 0054: Success, per iter time: 3.8878 seconds
Iteration 0055: Success, per iter time: 5.0103 seconds
Iteration 0056: Success, per iter time: 2.5715 seconds
Iteration 0057: Success, per iter time: 4.1674 seconds
Iteration 0058: Success, per iter time: 3.9507 seconds
Iteration 0059: Success, per iter time: 3.2489 seconds
Iteration 0060: Success, per iter time: 3.2171 seconds
Iteration 0061: Success, per iter time: 3.7005 seconds
Iteration 0062: Success, per iter time: 7.5466 seconds
Iteration 0063: Success, per iter time: 3.4214 seconds
Iteration 0064: Success, per iter time: 4.1554 seconds
Iteration 0065: Success, per iter time: 4.6042 seconds
Iteration 0066: Success, per iter time: 4.5727 seconds
Iteration 0067: Success, per iter time: 1.6854 seconds
Iteration 0068: Success, per iter time: 3.8733 seconds
Iteration 0069: Success, per iter time: 2.9884 seconds
Iteration 0070: Success, per iter time: 4.9579 seconds
Iteration 0071: Success, per iter time: 2.9374 seconds
Iteration 0072: Success, per iter time: 3.8855 seconds
Iteration 0073: Success, per iter time: 4.2815 seconds
Iteration 0074: Success, per iter time: 2.3544 seconds
Iteration 0075: Success, per iter time: 3.0634 seconds
Iteration 0076: Success, per iter time: 7.3853 seconds
Iteration 0077: Success, per iter time: 5.4646 seconds
Iteration 0078: Success, per iter time: 6.6547 seconds
Iteration 0079: Success, per iter time: 2.9431 seconds
Iteration 0080: Success, per iter time: 3.0937 seconds
Iteration 0081: Success, per iter time: 3.5402 seconds
Iteration 0082: Success, per iter time: 4.8770 seconds
Iteration 0083: Success, per iter time: 3.2773 seconds
Iteration 0084: Success, per iter time: 5.0619 seconds
Iteration 0085: Success, per iter time: 7.0808 seconds
Iteration 0086: Success, per iter time: 4.8936 seconds
Iteration 0087: Success, per iter time: 5.0966 seconds
Iteration 0088: Success, per iter time: 5.3498 seconds
Iteration 0089: Success, per iter time: 4.5234 seconds
Iteration 0090: Success, per iter time: 3.8142 seconds
Iteration 0091: Success, per iter time: 2.2076 seconds
Iteration 0092: Success, per iter time: 5.1474 seconds
Iteration 0093: Success, per iter time: 6.5369 seconds
Iteration 0094: Success, per iter time: 6.8230 seconds
Iteration 0095: Success, per iter time: 6.1690 seconds
Iteration 0096: Success, per iter time: 2.3432 seconds
Iteration 0097: Success, per iter time: 5.8756 seconds
Iteration 0098: Success, per iter time: 5.8979 seconds
Iteration 0099: Success, per iter time: 5.6632 seconds
Iteration 0100: Success, per iter time: 5.1183 seconds
-- Statistics:
 Average time: 4.2471 seconds
 Std Dev time: 1.4693 seconds
        Total:   100 runs
    Successes:   100 runs
    Succ Rate: 1.000000
     Timeouts:     0 runs
 Timeout Rate: 0.000000
     Failures:     0 runs
 Failure Rate: 0.000000
-- End of SubmissionPublisherLoops2Test session --
